Upper Tier Local Authority District code (2019),Upper Tier Local Authority District name (2019),Living Environment - Average rank ,Living Environment - Rank of average rank ,Living Environment - Average score ,Living Environment - Rank of average score ,Living Environment - Proportion  of LSOAs in most deprived 10% nationally ,Living Environment - Rank of proportion of LSOAs in most deprived 10% nationally 
E09000008,Croydon,20381.04,48,26.027,52,0.0636,64
E09000009,Ealing,23725.05,28,30.340,33,0.0408,84
E09000010,Enfield,21993.30,40,27.479,46,0.0273,99
E09000011,Greenwich,20159.67,52,24.635,62,0.0331,91
E09000012,Hackney,26058.36,13,36.053,15,0.1667,31
E09000013,Hammersmith and Fulham,26012.37,15,35.009,18,0.1416,40
E09000014,Haringey,25874.06,16,34.361,21,0.0690,62
E09000015,Harrow,16503.93,78,18.953,90,0.0000,132
E09000016,Havering,14618.78,95,16.749,110,0.0000,132
E09000017,Hillingdon,17275.15,74,20.298,81,0.0062,131
E09000018,Hounslow,23240.40,30,29.818,34,0.0563,74
E09000019,Islington,26061.40,12,35.373,17,0.1789,29
E09000020,Kensington and Chelsea,28690.63,3,42.014,5,0.4078,7
E09000021,Kingston upon Thames,20231.10,51,24.718,60,0.0204,107
E09000022,Lambeth,28937.77,2,44.402,2,0.4438,5
E09000023,Lewisham,26197.00,10,36.405,14,0.2130,22
E09000024,Merton,23193.15,31,29.557,36,0.0403,85
E09000025,Newham,24540.70,22,32.471,28,0.0976,51
E09000026,Redbridge,20635.31,47,25.177,57,0.0186,110
E09000027,Richmond upon Thames,21705.84,41,26.621,49,0.0000,132
E09000028,Southwark,26080.04,11,35.982,16,0.1867,27
E09000029,Sutton,17857.32,70,21.317,75,0.0083,125
E09000030,Tower Hamlets,24554.12,21,33.213,25,0.1389,42
E09000031,Waltham Forest,25529.84,18,34.303,23,0.1667,31
E09000032,Wandsworth,24522.77,23,32.499,27,0.0838,55
E09000033,Westminster,27971.66,4,40.920,6,0.3750,10
E10000002,Buckinghamshire,8571.31,135,10.685,135,0.0094,122
E10000003,Cambridgeshire,13887.53,103,17.187,106,0.0240,102
E10000006,Cumbria,19192.46,58,27.858,44,0.2336,19
E10000007,Derbyshire,13418.37,111,16.511,111,0.0367,88
E10000008,Devon,18827.07,63,27.982,41,0.2670,15
E10000011,East Sussex,14635.19,94,19.154,89,0.1003,48
E10000012,Essex,10220.51,132,12.606,131,0.0149,113
E10000013,Gloucestershire,13165.76,112,16.804,109,0.0509,79
E10000014,Hampshire,12074.49,119,15.037,117,0.0373,87
E10000015,Hertfordshire,10503.19,130,12.539,132,0.0101,120
E10000016,Kent,14290.57,98,18.176,96,0.0610,67
E10000017,Lancashire,19564.97,54,27.815,45,0.2196,21
E10000018,Leicestershire,10982.30,127,13.374,127,0.0152,112
E10000019,Lincolnshire,13736.31,105,17.920,98,0.0619,65
E10000020,Norfolk,16344.09,81,21.642,74,0.1004,47
E10000021,Northamptonshire,12271.01,116,15.248,115,0.0237,103
E10000023,North Yorkshire,17726.24,72,24.234,65,0.1582,33
E10000024,Nottinghamshire,11400.68,124,13.745,125,0.0141,114
E10000025,Oxfordshire,13993.19,99,17.874,100,0.0565,73
E10000027,Somerset,17770.40,71,24.616,63,0.1529,34
E10000028,Staffordshire,13785.58,104,17.441,104,0.0606,69
E10000029,Suffolk,15683.35,86,20.785,80,0.0998,49
E10000030,Surrey,12750.45,115,14.975,118,0.0071,128
E10000031,Warwickshire,15863.76,84,19.600,87,0.0383,86
E10000032,West Sussex,13982.33,100,17.945,97,0.0653,63
E10000034,Worcestershire,15338.20,90,20.228,82,0.1016,45
