B.6g Gross Disposable Household Income by Local Authority1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,£ million
North West,E07000119,Fylde,791,810,831,906,937,964,1004,1032,1057,1098,1136,1162,1206,1205,1206,1243,1266,1307,1386,1379
North West,E07000120,Hyndburn,663,682,711,755,788,811,821,865,910,935,983,1020,1055,1058,1073,1096,1123,1125,1186,1191
North West,E07000121,Lancaster,1237,1277,1327,1416,1478,1531,1593,1665,1733,1791,1859,1906,2013,2033,2068,2149,2222,2269,2344,2388
North West,E07000122,Pendle,721,739,766,821,868,879,907,934,980,1026,1080,1126,1168,1167,1186,1216,1251,1257,1322,1324
North West,E07000123,Preston,1399,1431,1458,1546,1617,1653,1716,1800,1919,2000,2082,2130,2236,2231,2281,2368,2385,2431,2569,2547
North West,E07000124,Ribble Valley,587,604,633,672,709,730,765,797,815,840,873,896,910,915,935,954,976,1008,1069,1065
North West,E07000125,Rossendale,559,581,594,633,660,683,717,748,785,799,843,879,922,926,946,963,1001,1011,1070,1067
North West,E07000126,South Ribble,1112,1150,1182,1264,1324,1365,1406,1456,1492,1545,1608,1650,1733,1727,1754,1784,1815,1861,1962,1937
North West,E07000127,West Lancashire,1118,1144,1180,1269,1325,1357,1404,1455,1508,1563,1633,1672,1741,1731,1776,1836,1865,1921,2067,2106
North West,E07000128,Wyre,962,989,1016,1098,1156,1204,1242,1280,1326,1372,1421,1455,1532,1518,1537,1575,1622,1656,1714,1729
North West,E08000011,Knowsley ,1209,1259,1312,1432,1509,1542,1583,1641,1706,1757,1845,1895,1959,1960,1988,2063,2107,2137,2247,2267
North West,E08000012,Liverpool,3855,3907,4080,4281,4459,4583,4733,4914,5033,5283,5454,5475,5777,5872,5997,6276,6474,6667,7004,7089
North West,E08000014,Sefton,3266,3364,3426,3429,3370,3488,3579,3666,3792,3850,3951,4038,4273,4291,4318,4512,4651,4644,4868,4857
North West,E08000013,St. Helens,1485,1522,1600,1714,1800,1841,1886,1966,2039,2104,2216,2264,2345,2360,2378,2479,2526,2577,2698,2732
North West,E08000015,Wirral,3287,3402,3527,3754,3864,4041,4175,4226,4263,4346,4573,4708,4924,4959,4988,5203,5350,5449,5629,5594
Yorkshire and The Humber,E06000011,East Riding of Yorkshire,3300,3395,3671,3807,3842,4049,4243,4478,4680,4902,5052,5138,5287,5325,5461,5612,5680,5790,6134,6225
Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",1941,2024,2108,2278,2386,2453,2465,2522,2593,2616,2707,2798,2926,2933,3019,3124,3154,3245,3388,3479
Yorkshire and The Humber,E06000012,North East Lincolnshire,1457,1513,1552,1600,1670,1713,1776,1834,1868,1940,2057,2061,2095,2103,2200,2265,2279,2317,2400,2404
