Secondary Resources total by Local Authority1 ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,£ million
North West,E07000127,West Lancashire,313,326,332,368,395,403,419,432,443,476,518,543,591,621,649,688,694,688,729,749
North West,E07000128,Wyre,301,314,322,358,387,396,413,428,439,469,507,533,579,605,623,656,673,677,689,692
North West,E08000011,Knowsley ,447,458,466,512,549,552,571,596,603,634,690,724,777,800,821,857,866,845,861,860
North West,E08000012,Liverpool,1469,1506,1535,1586,1691,1717,1767,1866,1889,1968,2090,2159,2289,2348,2391,2526,2556,2509,2562,2567
North West,E08000014,Sefton,966,1001,1023,1098,1105,1130,1193,1228,1288,1366,1452,1506,1610,1687,1735,1831,1896,1795,1893,1936
North West,E08000013,St. Helens,518,527,542,598,642,646,671,702,710,746,814,858,926,958,987,1034,1045,1023,1038,1037
North West,E08000015,Wirral,1197,1228,1261,1291,1312,1343,1427,1447,1475,1560,1672,1749,1882,1975,1994,2130,2184,2158,2180,2188
Yorkshire and The Humber,E06000011,East Riding of Yorkshire,968,1021,1055,1159,1129,1191,1251,1323,1391,1509,1619,1719,1873,1982,2055,2111,2119,2110,2214,2265
Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",661,681,696,758,798,827,865,902,925,961,1014,1082,1189,1221,1238,1292,1271,1243,1295,1304
Yorkshire and The Humber,E06000012,North East Lincolnshire,444,462,479,497,518,540,585,623,637,682,737,746,771,820,878,916,905,879,902,910
Yorkshire and The Humber,E06000013,North Lincolnshire,426,445,461,481,501,527,577,622,640,693,757,773,805,859,920,965,954,929,958,973
Yorkshire and The Humber,E06000014,York,523,548,571,605,620,640,689,696,727,787,856,892,950,1019,1042,1131,1163,1146,1147,1157
Yorkshire and The Humber,E07000163,Craven,157,167,174,183,196,210,216,227,239,259,279,291,309,329,342,364,373,367,386,398
Yorkshire and The Humber,E07000164,Hambleton,248,264,274,290,307,331,342,358,375,409,442,463,495,529,552,589,604,593,624,640
Yorkshire and The Humber,E07000165,Harrogate,437,465,488,517,552,591,608,638,670,725,782,816,874,936,978,1045,1072,1052,1107,1129
Yorkshire and The Humber,E07000166,Richmondshire,132,144,149,160,172,186,194,207,220,240,260,273,293,314,328,353,362,348,364,381
Yorkshire and The Humber,E07000167,Ryedale,147,157,165,174,186,198,205,216,227,244,262,273,291,309,320,342,351,348,369,381
Yorkshire and The Humber,E07000168,Scarborough,321,337,351,367,387,418,432,454,474,511,548,571,609,648,670,712,727,713,748,764
