D.61/D.62 Imputed social contributions/Social benefits received by Local Authority1 ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,£ million
North West,E07000127,West Lancashire,278,283,289,318,335,352,373,385,398,430,456,489,542,561,582,618,623,627,667,685
North West,E07000128,Wyre,269,276,283,312,331,349,371,384,398,426,448,482,533,549,561,591,607,620,631,633
North West,E08000011,Knowsley ,406,409,416,454,480,493,518,542,552,580,619,662,723,735,748,778,787,777,791,789
North West,E08000012,Liverpool,1361,1380,1406,1438,1513,1569,1632,1727,1758,1825,1898,1991,2143,2181,2199,2312,2343,2323,2373,2374
North West,E08000014,Sefton,879,898,918,977,960,1010,1086,1119,1185,1259,1310,1381,1499,1554,1586,1673,1735,1656,1754,1795
North West,E08000013,St. Helens,470,471,484,530,562,578,609,638,650,683,730,784,861,880,899,939,949,940,954,952
North West,E08000015,Wirral,1101,1114,1144,1155,1147,1206,1303,1321,1358,1437,1507,1604,1753,1818,1817,1942,1993,1993,2014,2020
Yorkshire and The Humber,E06000011,East Riding of Yorkshire,859,885,920,999,971,1033,1104,1166,1243,1351,1419,1537,1709,1778,1827,1875,1873,1906,2006,2057
Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",598,605,619,670,711,741,787,820,846,875,902,980,1102,1119,1119,1163,1140,1132,1180,1190
Yorkshire and The Humber,E06000012,North East Lincolnshire,395,401,418,427,448,471,523,556,574,616,652,669,703,737,784,817,804,794,815,824
Yorkshire and The Humber,E06000013,North Lincolnshire,379,387,402,413,434,460,515,555,578,625,670,694,733,772,822,861,848,840,865,881
Yorkshire and The Humber,E06000014,York,463,473,496,516,531,552,609,612,648,702,748,795,862,911,921,1003,1029,1034,1033,1042
Yorkshire and The Humber,E07000163,Craven,137,141,149,154,167,181,190,199,213,231,244,259,280,292,301,322,330,331,350,361
Yorkshire and The Humber,E07000164,Hambleton,216,223,234,243,262,285,300,314,334,364,386,412,448,470,487,521,534,534,564,580
Yorkshire and The Humber,E07000165,Harrogate,381,394,417,434,471,510,534,559,596,646,682,725,791,832,862,925,947,949,1002,1024
Yorkshire and The Humber,E07000166,Richmondshire,115,122,127,134,146,161,170,181,195,213,227,242,265,279,290,312,320,314,329,345
Yorkshire and The Humber,E07000167,Ryedale,129,133,141,146,158,171,180,189,202,217,229,242,264,274,282,303,310,314,334,345
Yorkshire and The Humber,E07000168,Scarborough,280,286,300,308,330,361,379,398,422,455,479,507,551,576,591,631,642,643,677,693
Yorkshire and The Humber,E07000169,Selby,193,199,210,220,238,260,272,285,304,332,354,381,416,439,454,489,503,509,540,557
Yorkshire and The Humber,E08000016,Barnsley,550,559,579,619,656,690,734,768,792,841,875,931,1026,1094,1123,1180,1201,1239,1283,1299
Yorkshire and The Humber,E08000017,Doncaster,723,732,759,816,863,910,967,1009,1040,1101,1146,1220,1344,1433,1465,1529,1547,1585,1634,1651
Yorkshire and The Humber,E08000018,Rotherham ,626,634,656,703,747,787,837,873,899,950,984,1044,1148,1222,1248,1304,1318,1355,1396,1408
Yorkshire and The Humber,E08000019,Sheffield,1262,1281,1308,1353,1437,1492,1579,1666,1712,1801,1906,2021,2219,2357,2413,2542,2561,2602,2667,2695
Yorkshire and The Humber,E08000032,Bradford ,1120,1140,1193,1310,1306,1380,1464,1571,1608,1705,1813,1950,2177,2250,2276,2393,2442,2472,2564,2593
Yorkshire and The Humber,E08000033,Calderdale,445,454,475,509,514,546,597,635,657,700,734,783,857,912,920,971,1008,1014,1058,1075
Yorkshire and The Humber,E08000034,Kirklees ,895,914,958,1025,1040,1108,1215,1294,1342,1432,1502,1604,1759,1880,1905,2013,2093,2106,2203,2238
Yorkshire and The Humber,E08000035,Leeds ,1689,1721,1764,1886,1931,2052,2228,2314,2394,2525,2645,2827,3104,3244,3284,3516,3593,3610,3731,3773
Yorkshire and The Humber,E08000036,Wakefield,741,760,794,849,863,920,1006,1075,1118,1195,1253,1319,1435,1537,1563,1654,1688,1659,1767,1808
East Midlands,E06000015,Derby ,614,629,658,616,650,727,758,779,791,853,892,951,1035,1069,1111,1183,1157,1187,1233,1250
East Midlands,E06000016,Leicester,607,608,611,646,685,747,818,882,919,961,999,1053,1150,1223,1241,1305,1313,1326,1350,1349
East Midlands,E06000018,Nottingham,685,692,704,741,752,810,853,871,904,934,972,1048,1168,1235,1237,1301,1314,1326,1359,1364
East Midlands,E06000017,Rutland ,77,79,84,89,93,98,107,112,122,130,137,149,164,170,176,187,192,195,202,208
East Midlands,E07000032,Amber Valley,251,257,269,312,333,356,387,409,429,454,480,513,560,577,602,638,656,656,683,700
East Midlands,E07000033,Bolsover,180,185,193,201,230,236,247,259,273,294,312,330,357,376,382,400,406,402,423,432
East Midlands,E07000034,Chesterfield,254,261,269,279,316,323,337,354,375,402,426,451,489,514,522,543,551,543,567,578
East Midlands,E07000035,Derbyshire Dales,151,156,162,187,198,211,228,240,250,263,279,298,326,336,350,371,379,377,392,401
East Midlands,E07000036,Erewash,236,244,252,294,314,335,362,380,396,416,439,469,513,528,552,587,601,603,631,645
East Midlands,E07000037,High Peak,193,198,205,239,255,272,293,308,323,340,361,385,420,431,447,474,484,483,503,514
East Midlands,E07000038,North East Derbyshire,248,254,265,274,310,315,328,344,361,386,409,432,468,491,498,520,526,517,541,555
East Midlands,E07000039,South Derbyshire,172,179,186,217,233,254,280,299,316,337,361,390,429,445,467,499,515,520,546,563
East Midlands,E07000129,Blaby,204,212,221,232,243,252,276,289,309,328,343,370,411,425,442,477,483,489,507,520
East Midlands,E07000130,Charnwood,358,368,383,397,414,424,462,488,525,559,586,636,713,744,779,849,863,880,921,945
East Midlands,E07000131,Harborough,172,179,185,195,207,216,238,252,271,290,305,331,370,384,402,435,444,449,469,481
East Midlands,E07000132,Hinckley and Bosworth,233,240,249,259,270,278,304,321,345,366,382,413,459,474,495,534,541,549,571,585
East Midlands,E07000133,Melton,109,112,118,123,129,133,146,153,164,173,182,195,217,227,237,256,258,260,268,272
East Midlands,E07000134,North West Leicestershire,196,203,211,220,231,240,264,280,302,321,338,366,407,422,440,474,481,488,511,524
East Midlands,E07000135,Oadby and Wigston,129,132,138,144,150,154,169,178,189,201,209,223,244,250,263,283,286,286,294,298
East Midlands,E07000136,Boston,140,144,147,149,156,170,188,199,213,232,250,272,304,323,334,354,365,372,385,394
East Midlands,E07000137,East Lindsey,319,328,340,349,366,398,440,463,493,528,560,602,657,687,706,746,758,770,794,807
East Midlands,E07000138,Lincoln,215,220,227,230,240,258,285,301,322,347,368,395,435,461,481,516,528,536,556,566
East Midlands,E07000139,North Kesteven,222,229,241,249,264,292,325,343,366,397,425,462,510,538,561,597,609,622,645,661
East Midlands,E07000140,South Holland,185,193,199,204,215,235,262,277,297,323,346,376,417,440,457,483,494,505,525,538
East Midlands,E07000141,South Kesteven,313,322,331,335,349,378,417,436,464,500,533,575,634,666,693,738,757,774,801,819
East Midlands,E07000142,West Lindsey,198,204,209,212,223,244,272,288,308,333,357,386,425,447,462,492,503,514,534,546
East Midlands,E07000150,Corby,114,116,121,128,137,144,151,160,169,183,201,220,248,263,276,297,310,319,335,341
East Midlands,E07000151,Daventry,138,144,152,164,179,194,207,220,233,251,272,290,323,335,343,366,375,362,375,383
