B.5g Balance of primary incomes by Local Authority1 ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,£ million
North West,E07000119,Fylde,881,917,940,1019,1050,1096,1149,1200,1230,1271,1331,1338,1326,1351,1325,1323,1339,1396,1462,1462
North West,E07000120,Hyndburn,748,783,816,873,906,946,966,1031,1084,1116,1189,1198,1173,1203,1190,1178,1180,1212,1271,1297
North West,E07000121,Lancaster,1364,1433,1491,1591,1655,1739,1824,1937,2017,2076,2182,2193,2198,2268,2252,2267,2301,2354,2406,2496
North West,E07000122,Pendle,812,848,879,950,998,1027,1067,1116,1169,1224,1306,1322,1298,1327,1315,1307,1314,1353,1416,1442
North West,E07000123,Preston,1577,1639,1672,1765,1840,1912,2001,2131,2266,2353,2476,2495,2492,2536,2540,2556,2559,2632,2749,2742
North West,E07000124,Ribble Valley,657,686,718,760,798,834,879,928,950,975,1024,1035,1004,1029,1028,1019,1035,1079,1131,1133
North West,E07000125,Rossendale,629,664,681,730,757,794,837,885,928,949,1015,1029,1023,1051,1047,1034,1051,1087,1145,1160
North West,E07000126,South Ribble,1250,1313,1349,1436,1499,1567,1626,1708,1752,1806,1901,1920,1922,1952,1942,1914,1934,2002,2084,2070
North West,E07000127,West Lancashire,1246,1295,1337,1431,1489,1546,1610,1694,1757,1812,1912,1922,1907,1936,1930,1932,1950,2042,2156,2216
North West,E07000128,Wyre,1053,1101,1132,1224,1283,1356,1411,1481,1534,1581,1660,1664,1659,1683,1661,1647,1664,1704,1744,1793
North West,E08000011,Knowsley ,1297,1371,1430,1553,1648,1704,1738,1841,1959,1999,2111,2128,2118,2133,2134,2149,2201,2249,2390,2439
North West,E08000012,Liverpool,3875,3991,4215,4467,4584,4804,5063,5239,5470,5870,6082,5972,6073,6356,6388,6613,6821,7075,7404,7681
North West,E08000014,Sefton,3435,3575,3627,3678,3712,3798,3897,4069,4176,4185,4299,4370,4531,4586,4508,4570,4696,4773,4938,4887
North West,E08000013,St. Helens,1592,1657,1743,1859,1963,2033,2069,2201,2337,2387,2526,2536,2529,2561,2546,2575,2632,2704,2862,2931
North West,E08000015,Wirral,3377,3529,3654,4029,4235,4451,4641,4752,4829,4795,5091,5191,5193,5356,5333,5386,5515,5689,5810,5862
Yorkshire and The Humber,E06000011,East Riding of Yorkshire,3630,3783,4073,4226,4352,4655,4901,5233,5488,5747,6001,6008,5855,5945,6041,6049,6120,6228,6511,6669
Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",2126,2277,2368,2587,2677,2748,2765,2901,3036,3073,3137,3198,3150,3252,3307,3307,3397,3537,3584,3770
Yorkshire and The Humber,E06000012,North East Lincolnshire,1630,1712,1753,1853,1926,1969,2070,2137,2165,2271,2429,2402,2349,2376,2442,2408,2468,2528,2562,2609
Yorkshire and The Humber,E06000013,North Lincolnshire,1601,1694,1717,1842,1913,1972,2104,2190,2234,2346,2516,2518,2453,2481,2547,2527,2595,2652,2703,2773
Yorkshire and The Humber,E06000014,York,2084,2313,2496,2651,2825,2967,2973,3062,3111,3287,3490,3483,3514,3573,3618,3760,3883,4120,4271,4400
Yorkshire and The Humber,E07000163,Craven,678,737,735,764,789,836,871,915,984,1050,1084,1103,1107,1100,1104,1127,1129,1130,1187,1222
Yorkshire and The Humber,E07000164,Hambleton,1107,1200,1194,1242,1301,1360,1414,1487,1568,1674,1734,1778,1783,1779,1805,1842,1856,1846,1935,1980
Yorkshire and The Humber,E07000165,Harrogate,1953,2153,2176,2298,2391,2525,2618,2705,2877,3042,3171,3220,3242,3254,3298,3366,3407,3385,3571,3645
Yorkshire and The Humber,E07000166,Richmondshire,584,649,653,694,715,755,796,855,922,997,1046,1079,1097,1103,1109,1146,1159,1123,1163,1228
Yorkshire and The Humber,E07000167,Ryedale,647,695,702,730,758,789,833,878,934,987,1016,1029,1032,1021,1029,1053,1068,1073,1135,1174
Yorkshire and The Humber,E07000168,Scarborough,1349,1450,1443,1484,1519,1597,1679,1802,1917,2026,2083,2125,2142,2114,2125,2162,2169,2153,2255,2283
Yorkshire and The Humber,E07000169,Selby,976,1053,1058,1107,1155,1225,1288,1349,1447,1544,1611,1664,1707,1692,1709,1761,1786,1788,1884,1946
Yorkshire and The Humber,E08000016,Barnsley,2107,2242,2336,2475,2569,2646,2778,2902,3039,3137,3315,3300,3243,3341,3411,3498,3635,3799,3842,3982
Yorkshire and The Humber,E08000017,Doncaster,2755,2944,3080,3278,3384,3516,3698,3830,3996,4127,4353,4344,4279,4408,4461,4543,4688,4851,4901,5071
Yorkshire and The Humber,E08000018,Rotherham ,2418,2556,2666,2832,2959,3057,3192,3287,3443,3544,3712,3678,3630,3731,3765,3851,3976,4112,4153,4286
Yorkshire and The Humber,E08000019,Sheffield,5535,5842,6063,6458,6737,6983,7179,7658,7870,7936,8122,8271,8274,8301,8348,8413,8671,9139,9336,9681
Yorkshire and The Humber,E08000032,Bradford ,4873,5060,5225,5575,5653,5895,6059,6398,6561,6795,7093,7119,6959,7046,7091,7195,7442,7752,8032,8234
Yorkshire and The Humber,E08000033,Calderdale,2086,2225,2278,2430,2515,2604,2709,2840,2972,3058,3208,3219,3149,3199,3211,3291,3382,3490,3611,3694
Yorkshire and The Humber,E08000034,Kirklees ,4229,4533,4652,4975,5143,5350,5567,5822,6073,6259,6582,6590,6493,6589,6665,6834,7031,7241,7533,7716
